,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Returns,Log_Returns,Volatility,MA20,MA50,Day_Count
2023-10-03 02:23:41.304957,250.0,252.91,247.19,250.0,46832865,0.0,0.0,MSFT,-0.0018799999999999928,-0.0018817694180183597,0.018207086359325598,256.3345,236.8386,0
2023-10-04 02:23:41.304957,250.71,250.69,244.92,249.53,32515371,0.0,0.0,MSFT,-0.0018799999999999928,-0.0018817694180183597,0.018207086359325598,256.3345,236.8386,1
2023-10-05 02:23:41.304957,248.99,253.93,250.4,252.59,25299395,0.0,0.0,MSFT,0.012263054542539953,0.012188472406657366,0.018207086359325598,256.3345,236.8386,2
2023-10-06 02:23:41.304957,253.34,260.93,256.97,259.67,41858334,0.0,0.0,MSFT,0.028029613207173787,0.027643973239834987,0.018207086359325598,256.3345,236.8386,3
2023-10-09 02:23:41.304957,257.6,263.8,256.03,258.74,56768194,0.0,0.0,MSFT,-0.0035814687873070294,-0.003587897600964545,0.018207086359325598,256.3345,236.8386,4
2023-10-10 02:23:41.304957,259.34,262.18,254.2,257.82,56811278,0.0,0.0,MSFT,-0.0035556929736415555,-0.0035620294747971794,0.018207086359325598,256.3345,236.8386,5
2023-10-11 02:23:41.304957,260.43,268.47,262.72,265.31,30385737,0.0,0.0,MSFT,0.02905127608408975,0.028637286595900202,0.018207086359325598,256.3345,236.8386,6
2023-10-12 02:23:41.304957,263.5,269.23,264.53,269.15,38745485,0.0,0.0,MSFT,0.014473634616109399,0.01436989139610736,0.018207086359325598,256.3345,236.8386,7
2023-10-13 02:23:41.304957,269.4,268.5,264.61,267.05,24523615,0.0,0.0,MSFT,-0.007802340702210531,-0.007832938221186836,0.018207086359325598,256.3345,236.8386,8
2023-10-16 02:23:41.304957,266.17,272.26,268.64,269.84,59803399,0.0,0.0,MSFT,0.010447481744991327,0.010393283967615243,0.018207086359325598,256.3345,236.8386,9
2023-10-17 02:23:41.304957,270.41,267.92,263.81,267.77,59150305,0.0,0.0,MSFT,-0.007671212570412034,-0.007700787669899833,0.018207086359325598,256.3345,236.8386,10
2023-10-18 02:23:41.304957,267.79,267.06,265.28,265.79,44227901,0.0,0.0,MSFT,-0.007394405646636848,-0.007421879784470453,0.018207086359325598,256.3345,236.8386,11
2023-10-19 02:23:41.304957,264.94,271.7,264.74,267.08,51198632,0.0,0.0,MSFT,0.004853455735731149,0.004841715690643728,0.018207086359325598,256.3345,236.8386,12
2023-10-20 02:23:41.304957,267.73,259.02,256.13,258.39,47179507,0.0,0.0,MSFT,-0.03253706754530472,-0.03307816752047603,0.018207086359325598,256.3345,236.8386,13
2023-10-23 02:23:41.304957,260.72,253.15,248.53,251.07,41692119,0.0,0.0,MSFT,-0.028329269708580074,-0.02873828675629961,0.018207086359325598,256.3345,236.8386,14
2023-10-24 02:23:41.304957,250.83,250.29,241.69,248.7,17400659,0.0,0.0,MSFT,-0.00943959851834153,-0.009484433903533427,0.018207086359325598,256.3345,236.8386,15
2023-10-25 02:23:41.304957,249.6,244.4,241.68,244.35,35464395,0.0,0.0,MSFT,-0.017490952955367844,-0.017645727093195084,0.018207086359325598,256.3345,236.8386,16
2023-10-26 02:23:41.304957,242.77,247.6,240.85,245.95,45365383,0.0,0.0,MSFT,0.006547984448536992,0.0065266395251850455,0.018207086359325598,256.3345,236.8386,17
2023-10-27 02:23:41.304957,244.77,245.46,240.22,242.01,45488922,0.0,0.0,MSFT,-0.016019516161821512,-0.016149215624356138,0.018207086359325598,256.3345,236.8386,18
2023-10-30 02:23:41.304957,242.58,238.58,233.75,235.88,31790517,0.0,0.0,MSFT,-0.025329531837527397,-0.025655846484689323,0.018207086359325598,256.3345,236.8386,19
2023-10-31 02:23:41.304957,237.63,245.07,242.42,242.6,57376139,0.0,0.0,MSFT,0.028489062235034668,0.028090795377646277,0.018207086359325598,255.9645,236.8386,20
2023-11-01 02:23:41.304957,243.03,244.47,240.34,241.76,22531066,0.0,0.0,MSFT,-0.0034624896949712047,-0.0034684979855203763,0.018212976984431507,255.57600000000002,236.8386,21
2023-11-02 02:23:41.304957,241.38,242.72,240.73,242.26,37516175,0.0,0.0,MSFT,0.0020681667769688605,0.0020660310642266603,0.017950551239975535,255.05949999999999,236.8386,22
2023-11-03 02:23:41.304957,242.26,239.45,232.88,235.93,46089778,0.0,0.0,MSFT,-0.026128952365227387,-0.02647637873003414,0.017264643698715127,253.8725,236.8386,23
2023-11-06 02:23:41.304957,234.45,235.76,233.48,233.69,46371111,0.0,0.0,MSFT,-0.00949434154198281,-0.009539700130906865,0.017296150767476856,252.62000000000003,236.8386,24
2023-11-07 02:23:41.304957,234.39,240.21,233.44,234.4,44188753,0.0,0.0,MSFT,0.0030382130172450506,0.003033606975142443,0.017386460982399297,251.44899999999998,236.8386,25
2023-11-08 02:23:41.304957,235.43,229.45,228.27,229.14,27387969,0.0,0.0,MSFT,-0.022440273037542702,-0.022695887237377747,0.01588795967382224,249.64050000000003,236.8386,26
2023-11-09 02:23:41.304957,228.62,234.26,225.03,231.17,22029295,0.0,0.0,MSFT,0.008859212708387965,0.008820200128005749,0.015530794586295334,247.7415,236.8386,27
2023-11-10 02:23:41.304957,230.63,229.33,226.52,228.45,43617314,0.0,0.0,MSFT,-0.011766232642643981,-0.011836002584205045,0.015560632565109214,245.81150000000002,236.8386,28
2023-11-13 02:23:41.304957,228.76,229.11,224.45,227.23,41968595,0.0,0.0,MSFT,-0.005340337054060007,-0.005354647625574176,0.014983445581178065,243.68099999999998,236.8386,29
2023-11-14 02:23:41.304957,226.74,228.83,223.2,224.38,23071020,0.0,0.0,MSFT,-0.012542357963297057,-0.012621677266887704,0.015009697694058882,241.51149999999998,236.8386,30
